Year,Country of Asylum,Country of Origin,Country of Asylum ISO,Country of Origin ISO,Population Type,Footnote,Refugees,Asylum-seekers,IDPs,Other people in need of international protection,Stateless persons,Host community,Others of concern
2024,Finland, ,FIN,,STA,"With regards to stateless statistics, the figures include: (a) the number of stateless asylum seekers at end-year reported by the Finnish authorities; (b) the number of stateless refugees at year-end based on UNHCR's estimation of refugees in Finland (recognized asylum-seekers over that past 10-years); and (c) the number of non-displaced stateless persons (those with other non-protection related types of permits) based on data from Statistics Finland corresponding to the resident population recorded as ""Stateless"" as of 31 December 2023 (no available data for end-2024 yet), deducting the estimated number of stateless refugees.",,,,,,,
2024 - 2025,Malta, ,MLT,,STA,"With regards to stateless statistics, the figure is based on results from the 2021 Population Census.",,,,,,,
2024 - 2025,Namibia, ,NAM,,STA,"The figure of 14,796 is based on data provided by the Namibian government's Director: National Population Register, Identification and Production in 2024. This comprises individuals who identified as stateless or individuals without proof of nationality in a government survey. A further assessment of this population is planned.",,,,,,,
2020,Montenegro, ,MNE,,STA,"In November 2017, jointly with the MoI and the MLSW, UNHCR carried out a field verification of all ex-Yugoslav refugees with unresolved status issues, including those at potential risk of statelessness. The field exercise covered 2,318 individuals (including 42% children) in 20 out of 23 municipalities. Based on the verification results, UNHCR reported on at least 145 persons at risk of statelessness and 460 in a statelessness like situation. During 2020 their number decreased to 118 and 349 respectively.",,,,,,,
2024, ,Ukraine,,UKR,REF,"Since February 2022, a number of Ukrainians have reached countries beyond Europe, where they are staying under various legal statuses. See UNHCR’s Ukraine Situation Operational Data Portal for up-to date statistics of refugees from Ukraine recorded in Europe and beyond.",,,,,,,
2019,Uzbekistan, ,UZB,,STA,The statelessness figure refers to stateless persons with permanent residence reported by the Government of Uzbekistan in December 2019 under the XII Report on compliance of Uzbekistan with CERD. Information on other categories of statelessness is unavailable.,,,,,,,
2016,Albania, ,ALB,,STA,The statelessness figure refers to a census from 2011 and has been adjusted to reflect the number of persons with undetermined nationality who had their nationality confirmed in 2011-2016.,,,,,,,
2024 - 2025,Pakistan, ,PAK,,STA,"The number of reported stateless people reflects only those registered with (i.e. as refugees), or otherwise individually known to, UNHCR. It does not include an estimate of all stateless people in the country.",,,,,,,
2023,Ukraine, ,UKR,,STA,"The numbers reported in Ukraine are an extrapolation of the 2001 census figure of persons who self-declared as not having a nationality. It includes 5,700 persons who are registered as stateless by the Ministry of the Interior of Ukraine.",,,,,,,
2025,Kazakhstan, ,KAZ,,REF,"Based on the information reported in the media as well as UNHCR protection monitoring activities, UNHCR estimates there to be 64,700 people of various origins in Kazakhstan who may be in need of international protection.",,,,,,,
2019,Malaysia, ,MYS,,STA,"The total stateless population in Malaysia includes 9,040 non-displaced stateless persons who may be entitled to Malaysian nationality under the law. This number of non-displaced stateless persons is based on a registration and community legal assistance programme undertaken in West Malaysia by a local NGO with technical support from UNHCR, and, among those registered, 930 persons acquired Malaysian nationality in 2019. The total statelessness figure reported also includes 99,292 stateless persons of Rohingya ethnicity who are also counted as refugees or asylum-seekers from Myanmar, mainly from Rakhine State. UNHCR’s statistical reporting generally follows a methodology that reports only one legal status for each person of concern. However, due to the size of the stateless Rohingya population displaced from Myanmar, UNHCR considers it important to reflect the dual status of this population group as both displaced and stateless. This approach is being used for Malaysia for the first time in 2019.",,,,,,,
2019 - 2020, ,Colombia,,COL,OOC,The figure of Others of concern has been provided by the Government of Colombia.,,,,,,,
2024,Ukraine, ,UKR,,STA,"With regards to stateless statistics, the reduction in reported statelessness figures for 2024 relates to a review of the methodology and use of available up to date data sources. The actual scale of statelessness is, however, undetermined and likely higher owing to the ongoing war, temporary occupation and large-scale forced displacement.",,,,,,,
2021,Indonesia, ,IDN,,STA,"The total statelessness figure reported relates to 641 stateless persons of Rohingya ethnicity who are also counted as refugees or asylum-seekers from Myanmar, mainly from Rakhine State. There are also indications that a potentially sizable population of non-displaced stateless persons exists for whom no data is available.",,,,,,,
"2015 - 2018, 2020 - 2024", ,State of Palestine,,PSE,"REF,ASY,IDP,STA,OOC,HST,OIP",Refers to Palestinian refugees under the UNHCR mandate only.,,,,,,,
2024,Panama, ,PAN,,STA,"Using 2023 census data, the stateless population has been estimated for the first time.",,,,,,,
2016,Angola, ,AGO,,REF,Refugee figure relates to the end of 2015.,,,,,,,
2024 - 2025,Iran (Islamic Rep. of), ,IRN,,STA,No estimates of the entire stateless population in the Islamic Rep. of Iran is available.,,,,,,,
2015, ,Myanmar,,MMR,STA,"Figure of stateless persons was estimated from the 2014 census. It does not include an estimated 151,921 stateless IDPs, persons in an IDP-like situation who are also of concern under the statelessness mandate because they are already included within the figures on IDPs.In Rakhine State it is estimated to be approximately one million.",,,,,,,
2025,Türkiye, ,TUR,,"REF,ASY","The figures for refugees and asylum-seekers by mid-2025 are based on official data published by the Turkish Government, which reflect the total population under International Protection without a refugee or asylum seeker breakdown, as well as the population under Temporary Protection. As official mid-year figures disaggregating asylum-seekers and refugees are not available, UNHCR utilized available official trends from 2019–2023 to estimate the respective populations of asylum-seekers and refugees under International Protection.",,,,,,,
2015 - 2023,Rep. of Moldova, ,MDA,,STA,The figure includes persons determined to be stateless following the statelessness determination procedure and persons with undetermined nationality who hold expired Soviet passports.,,,,,,,
2015,Latvia, ,LVA,,STA,"With respect to persons under UNHCR’s statelessness mandate, this figure includes persons of concern covered by two separate Latvian laws. 178 persons fall under the Republic of Latvia’s Law on Stateless Persons on 17 February 2004. 252,017 of the persons fall under Latvia’s 25 April 1995 Law on the Status of those Former USSR Citizens who are not Citizens of Latvia or Any Other State (“Non-citizens”). In the specific context of Latvia, the “Non-citizens” enjoy the right to reside in Latvia ex lege and a set of rights and obligations generally beyond the rights prescribed by the 1954 Convention relating to the Status of Stateless Persons, including protection from removal, and as such the “Non-citizens” may currently be considered persons to whom the Convention does not apply in accordance with Article 1.2(ii).",,,,,,,
2024,Greece, ,GRC,,REF,"With regards to refugee statistics, the number of refugees by end 2024 correspond to data on individuals holding active residence permits under refugee status or temporary protection as of December 2024, replacing previous refugee stock estimations conducted by UNHCR.",,,,,,,
